XXX,CityName,CityNo,CityTax,CountyName,CountyNo,CountyTax, SPDName,SPDNo,SPDTax,SPD2Name,SPD2No,SPD2Tax,SPD3Name,SPD3No,SPD3Tax, TransitName,TransitNo,TransitTax,Transit2Name,Transit2No,Transit2Tax, TotalTax
Alvarado                      ,2126054,0.02,Johnson                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alvarado/Johnson Co ESD 1-B,6126606,0.02,Johnson                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alvin                         ,2020015,0.015,Brazoria                      ,4020006,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alvord                        ,2249083,0.015,Wise                          ,4249001,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Amarillo,2188013,0.02,Potter                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Amarillo                      ,2188013,0.02,Randall                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Amarillo/Potter Co Asst Dist 1,6188601,0.02,Potter                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Amarillo/Randall Co Asst Dist 1,6191606,0.02,Randall                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Ames                          ,2146096,0.01,Liberty                       ,4146005,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0775
Amherst                       ,2140010,0.0125,Lamb                          ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.075
Ammansville                   ,n/a    ,0,Fayette                       ,4075000,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Amsterdam                     ,n/a    ,0,Brazoria                      ,4020006,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Anahuac                       ,2036017,0.01,Chambers                      ,n/a    ,0,Chambers Co Health Serv      ,5036507,0.005,Anahuac Mun Dev Dist                 ,5036534,0.005,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Anchor                        ,n/a    ,0,Brazoria                      ,4020006,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Anderson                      ,2093035,0.0125,Grimes                        ,4093008,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.08
Andrews                       ,2002017,0.02,Andrews                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Angleton                      ,2020042,0.015,Brazoria                      ,4020006,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Angus                         ,2175107,0.015,Navarro                       ,4175009,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Anna                          ,2043134,0.02,Collin                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Annarose                      ,n/a    ,0,Live Oak                      ,4149002,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Annetta                       ,2184099,0.0125,Parker                        ,4184008,0.005,Annetta Crm Con Dist,5184525,0.0025,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Annetta North                 ,2184124,0.015,Parker                        ,4184008,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Annetta South                 ,2184115,0.01,Parker                        ,4184008,0.005,Parker Co ESD 1                            ,5184534,0.005,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Annona                        ,2194042,0.01,Red River                     ,4194006,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0775
Anson                         ,2127026,0.02,Jones                         ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
